district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
52004.0,Brunsbütteler Damm,2589,2379,1945,58,102,76,1710,39,669,23,675.96,647.0,207.77,592.15,613.0,134.54,755.92,731.0,130.02,857.2,832.0,133.74,893.5,855.9,172.06,1002.31,1006.5,238.65,2020,,,,
52005.0,Heerstraße,4205,3885,3189,54,122,160,2817,62,862,47,684.35,654.0,171.14,599.26,582.0,119.01,718.42,700.0,107.51,744.39,722.5,97.7,867.5,834.05,160.28,971.72,914.5,306.0,2020,,,,
52006.0,Wilhelmstadt,5324,4907,4118,88,134,225,3690,43,2673,35,554.56,514.0,191.29,465.11,433.5,130.47,567.7,567.0,125.28,661.01,624.5,163.43,785.36,719.96,235.53,890.78,766.0,386.08,2020,,,,
53007.0,Haselhorst,2170,1989,1656,32,70,90,1491,37,819,26,603.76,575.0,214.07,490.83,480.0,154.56,719.39,680.5,200.71,790.94,781.0,153.34,827.68,800.19,126.38,925.73,912.0,341.29,2020,,,,
53008.0,Siemensstadt,1797,1590,1322,34,102,85,1206,44,800,32,575.9,518.5,197.32,460.83,442.0,90.13,688.7,647.5,218.74,839.17,832.0,196.47,906.65,863.83,163.35,750.69,654.5,291.02,2020,,,,
54009.0,Gatow/Kladow,1867,1461,1213,32,58,78,937,21,480,4,647.89,596.0,230.69,587.39,556.0,178.77,694.88,734.0,176.17,1035.95,1079.0,129.82,1212.83,1076.45,689.91,1014.21,931.0,395.98,2020,,,,
61001.0,Schloßstraße,2761,2533,2071,50,116,98,1849,48,1146,37,577.37,548.0,170.87,502.54,488.0,99.9,576.93,548.0,153.21,727.34,724.0,147.09,867.01,784.72,316.78,907.29,744.0,392.07,2020,,,,
61002.0,Albrechtstraße,4801,4465,3643,99,125,162,3221,30,2068,28,569.11,544.0,177.71,466.1,461.0,106.51,589.74,573.5,159.63,727.78,695.0,198.45,768.99,760.02,160.46,825.23,709.0,352.94,2020,,,,
62003.0,Lankwitz,4785,4342,3607,90,105,123,3202,24,1891,18,606.18,571.0,179.92,543.81,516.0,132.89,694.56,651.5,193.98,768.6,737.5,163.56,871.32,803.86,189.18,828.28,764.0,276.92,2020,,,,
62004.0,Ostpreußendamm,4149,3746,3114,79,81,119,2723,30,1218,16,648.6,622.0,197.98,544.56,564.0,115.17,672.77,627.5,177.97,804.95,781.0,235.46,913.97,859.92,171.3,789.93,725.0,284.1,2020,,,,
63005.0,Teltower Damm,3695,3219,2761,74,78,130,2437,13,1090,7,669.27,626.0,225.93,546.78,538.5,117.49,661.31,616.0,210.78,657.18,652.0,123.35,886.33,850.78,133.54,727.46,646.5,311.94,2020,,,,
63006.0,Drakestraße,4756,3984,3262,96,135,131,2902,72,1545,53,629.68,590.0,187.97,540.64,555.0,86.27,634.64,602.0,149.43,735.7,706.5,155.97,841.18,810.28,227.94,824.34,723.0,316.28,2020,,,,
64007.0,Zehlendorf Südwest,3517,2853,2426,55,127,166,2060,22,882,8,679.05,624.0,234.68,588.03,552.0,102.77,702.93,644.0,261.07,1026.71,928.0,341.41,1087.85,1038.85,314.53,788.51,741.5,291.08,2020,,,,
64008.0,Zehlendorf Nord,4275,3739,3180,82,162,147,2854,59,1249,46,668.55,629.0,216.16,553.78,518.0,210.5,694.58,652.0,192.63,748.38,720.0,161.73,827.44,794.63,147.05,856.86,776.0,355.49,2020,,,,
71001.0,Schöneberg Nordwest,3854,3562,2960,71,111,147,2661,64,1824,61,564.55,535.0,161.81,482.43,469.5,79.7,598.2,588.0,157.36,716.28,688.0,184.59,760.38,711.35,329.92,792.27,725.5,275.13,2020,,,,
71002.0,Schöneberg Nordost,2406,2211,1812,38,84,79,1633,37,1173,36,561.83,520.0,170.98,498.61,472.0,88.94,534.12,523.5,82.04,676.8,632.0,185.94,694.18,686.74,89.13,794.96,714.0,291.63,2020,,,,
72003.0,Schöneberg Südwest,2179,1980,1638,35,69,99,1449,33,1103,29,538.88,507.0,161.34,488.54,448.0,153.1,562.48,525.0,142.36,642.32,587.0,177.79,707.27,653.4,188.72,867.92,775.0,333.04,2020,,,,
72004.0,Schöneberg Südost,3353,3048,2570,48,121,148,2293,55,1719,49,526.97,487.0,182.41,459.64,453.0,129.24,557.33,523.0,182.65,672.29,655.0,143.95,743.1,700.99,174.23,799.41,687.5,360.0,2020,,,,
73005.0,Friedenau West,1964,1802,1490,30,55,90,1334,25,907,24,558.96,529.0,169.32,500.91,511.0,114.7,607.24,591.0,104.0,729.83,705.0,195.72,729.53,706.99,100.03,826.27,757.0,317.89,2020,,,,
73006.0,Friedenau Ost,2464,1727,1402,38,85,86,1259,37,818,35,584.26,545.0,188.74,499.91,469.5,114.15,586.34,562.0,135.7,647.36,621.0,111.53,709.85,683.29,104.61,875.94,878.0,339.88,2020,,,,
74007.0,Tempelhof Nord,2616,1887,1602,35,68,62,1462,20,965,15,583.08,533.0,205.81,481.46,475.0,82.85,636.03,601.5,157.85,706.34,690.0,142.73,790.48,758.12,161.24,874.17,785.5,341.24,2020,,,,
74008.0,Tempelhof Südwest,3856,3568,2938,70,118,140,2667,46,1776,39,558.5,525.0,180.79,452.3,451.0,103.2,605.89,575.0,135.61,746.27,721.0,184.74,829.41,764.17,306.23,947.92,845.5,415.77,2020,,,,
74009.0,Tempelhof Südost,2598,2051,1680,42,99,126,1534,43,1010,34,558.65,528.5,184.35,466.65,427.0,130.04,606.48,582.0,156.54,709.95,707.0,121.36,770.93,742.91,152.6,958.28,844.0,395.57,2020,,,,
75010.0,Mariendorf Nord,3743,3509,2918,72,85,110,2630,22,1668,19,580.53,546.0,181.39,491.03,478.0,110.13,622.33,595.0,125.3,731.66,695.0,123.7,787.74,771.36,127.58,967.73,810.5,413.08,2020,,,,
75011.0,Mariendorf Süd,2804,2626,2202,48,70,79,2000,14,1308,10,575.22,534.0,185.59,454.78,443.0,93.4,627.64,557.0,213.77,751.13,661.0,332.47,822.96,770.16,174.47,767.78,615.5,377.4,2020,,,,
76012.0,Marienfelde Nord,1999,1849,1496,32,78,59,1319,26,787,8,608.58,564.0,193.75,524.15,516.5,161.07,737.51,602.0,306.44,878.55,857.5,200.03,1006.62,968.36,235.92,807.1,749.5,308.18,2020,,,,
76013.0,Marienfelde Süd,2089,1926,1599,44,66,66,1434,30,707,10,641.32,602.5,178.41,553.69,553.0,111.57,766.02,749.0,170.98,850.4,818.0,152.45,963.71,947.81,164.77,865.91,806.0,295.06,2020,,,,
76014.0,Lichtenrade Nord,1975,1872,1526,36,35,51,1326,7,597,2,652.72,620.5,200.19,596.44,579.5,148.57,660.11,667.5,120.23,906.0,890.5,245.32,1012.69,944.77,219.06,910.03,837.5,290.11,2020,,,,
76015.0,Lichtenrade Süd,3324,3130,2593,70,77,82,2163,30,1004,6,660.51,617.0,221.09,592.73,581.0,151.86,694.47,702.0,137.42,913.6,872.5,144.86,1061.49,969.56,238.44,953.74,917.5,273.34,2020,,,,
81001.0,Schillerpromenade,4148,3812,3193,62,144,146,2884,63,1866,59,572.86,536.0,195.74,442.77,424.0,104.8,563.69,532.5,166.42,630.32,572.0,193.43,698.98,683.78,114.8,862.97,759.5,367.62,2020,,,,
81002.0,Neuköllner Mitte/Zentrum,5392,4877,3954,89,250,198,3588,112,2371,94,558.74,520.0,208.8,427.38,398.5,118.9,521.28,504.0,132.84,587.99,550.0,187.44,752.93,719.13,170.08,823.73,685.5,396.86,2020,,,,
81003.0,Reuterstraße,4660,4225,3480,84,202,182,3107,68,1957,62,595.1,555.0,178.18,457.72,468.0,78.34,563.46,544.0,146.03,683.72,646.0,160.87,726.02,687.89,155.74,888.24,785.5,360.7,2020,,,,
81004.0,Rixdorf,4796,4428,3643,84,168,158,3299,62,1908,58,593.75,570.0,188.63,463.7,467.0,91.07,587.61,575.0,127.45,629.28,624.0,159.71,754.19,725.79,169.53,920.53,949.0,354.77,2020,,,,
